prognosis,symptoms_description
Urethral valves,"I have blood in stool, congestion in chest, elbow swelling, muscle stiffness or tightness, nasal congestion, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
Urethral valves,"I have low back swelling, low urine output, muscle stiffness or tightness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
Urethral valves,"I have blood in stool, low back swelling, low urine output, muscle stiffness or tightness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
Urethral valves,"I have elbow swelling, low back swelling, low urine output, nasal congestion, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
Urethral valves,"I have blood in stool, congestion in chest, elbow swelling, low back swelling, low urine output, seizures, shoulder weakness, stuttering or stammering"
Urethral valves,"I have congestion in chest, elbow swelling, low back swelling, low urine output, muscle stiffness or tightness, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
Urethral valves,"I have blood in stool, congestion in chest, elbow swelling, low back swelling, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering"
Achalasia,"I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, hip weakness, hot flashes, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst"
Achalasia,"I have back mass or lump, coryza, coughing up sputum, difficulty eating, hip weakness, redness in or around nose, retention of urine, sharp abdominal pain"
Achalasia,"I have back mass or lump, changes in stool appearance, coughing up sputum, difficulty eating, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst"
Achalasia,"I have changes in stool appearance, coughing up sputum, difficulty eating, hot flashes, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst"
Achalasia,"I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, hot flashes, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst"
Achalasia,"I have back mass or lump, coryza, coughing up sputum, hip weakness, lower body pain, redness in or around nose, sharp abdominal pain, thirst"
Achalasia,"I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, redness in or around nose, retention of urine, sharp abdominal pain"
Achalasia,"I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, hip weakness, hot flashes, sharp abdominal pain"
Achalasia,"I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, hot flashes, redness in or around nose, retention of urine"
Achalasia,"I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, hip weakness, hot flashes, lower body pain, redness in or around nose, retention of urine"
Conductive hearing loss,"I have difficulty in swallowing, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, knee weakness, low back weakness, peripheral edema, rectal bleeding, rib pain, swollen lymph nodes"
Conductive hearing loss,"I have difficulty in swallowing, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, low back weakness, swollen lymph nodes"
Conductive hearing loss,"I have difficulty in swallowing, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, knee weakness, peripheral edema, rectal bleeding"
Conductive hearing loss,"I have difficulty in swallowing, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, low back weakness, peripheral edema, rib pain, swollen lymph nodes"
Conductive hearing loss,"I have difficulty in swallowing, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, knee weakness, low back weakness, rectal bleeding, rib pain, swollen lymph nodes"
Conductive hearing loss,"I have difficulty in swallowing, difficulty speaking, disturbance of smell or taste, hip weakness, low back weakness, peripheral edema, rib pain, swollen lymph nodes"
Conductive hearing loss,"I have dry or flaky scalp, flu-like syndrome, knee weakness, low back weakness, peripheral edema, rectal bleeding, rib pain, swollen lymph nodes"
Conductive hearing loss,"I have difficulty in swallowing, difficulty speaking, disturbance of smell or taste, hip weakness, knee weakness, low back weakness, peripheral edema, rectal bleeding, swollen lymph nodes"
Conductive hearing loss,"I have disturbance of smell or taste, flu-like syndrome, hip weakness, knee weakness, low back weakness, peripheral edema, rectal bleeding, rib pain, swollen lymph nodes"
Conductive hearing loss,"I have difficulty in swallowing, disturbance of smell or taste, dry or flaky scalp, hip weakness, knee weakness, low back weakness, peripheral edema, rectal bleeding"
Abdominal hernia,"I have abusing alcohol, frontal headache, groin mass, infant feeding problem, irregular appearing scalp, low urine output, redness in or around nose, seizures, sweating, swelling of scrotum, symptoms of the kidneys, unwanted hair"
Abdominal hernia,"I have frontal headache, infant feeding problem, irregular appearing scalp, low urine output, redness in or around nose, seizures, sweating, symptoms of the kidneys"
Abdominal hernia,"I have frontal headache, groin mass, infant feeding problem, irregular appearing scalp, low urine output, seizures, sweating, unwanted hair"
Abdominal hernia,"I have abusing alcohol, frontal headache, groin mass, infant feeding problem, low urine output, swelling of scrotum, symptoms of the kidneys, unwanted hair"
Abdominal hernia,"I have abusing alcohol, frontal headache, irregular appearing scalp, seizures, sweating, swelling of scrotum, symptoms of the kidneys, unwanted hair"
Abdominal hernia,"I have groin mass, infant feeding problem, irregular appearing scalp, redness in or around nose, seizures, swelling of scrotum, symptoms of the kidneys, unwanted hair"
Abdominal hernia,"I have abusing alcohol, frontal headache, groin mass, infant feeding problem, irregular appearing scalp, low urine output, symptoms of the kidneys, unwanted hair"
Abdominal hernia,"I have abusing alcohol, frontal headache, groin mass, infant feeding problem, irregular appearing scalp, redness in or around nose, seizures, symptoms of the kidneys"
Abdominal hernia,"I have abusing alcohol, frontal headache, groin mass, infant feeding problem, low urine output, redness in or around nose, seizures, swelling of scrotum, unwanted hair"
Abdominal hernia,"I have abusing alcohol, frontal headache, groin mass, irregular appearing scalp, redness in or around nose, sweating, swelling of scrotum, symptoms of the kidneys, unwanted hair"
Cerebral palsy,"I have arm weakness, bleeding or discharge from nipple, coughing up sputum, difficulty breathing, increased heart rate, knee weakness, lacrimation, leg weakness, problems during pregnancy, scanty menstrual flow, swollen or red tonsils, tongue bleeding"
Cerebral palsy,"I have arm weakness, bleeding or discharge from nipple, increased heart rate, knee weakness, lacrimation, leg weakness, problems during pregnancy, scanty menstrual flow, tongue bleeding"
Cerebral palsy,"I have arm weakness, coughing up sputum, difficulty breathing, increased heart rate, lacrimation, leg weakness, problems during pregnancy, swollen or red tonsils"
Cerebral palsy,"I have bleeding or discharge from nipple, coughing up sputum, difficulty breathing, knee weakness, lacrimation, leg weakness, problems during pregnancy, scanty menstrual flow, swollen or red tonsils"
Cerebral palsy,"I have arm weakness, difficulty breathing, increased heart rate, knee weakness, lacrimation, leg weakness, swollen or red tonsils, tongue bleeding"
Cerebral palsy,"I have arm weakness, bleeding or discharge from nipple, increased heart rate, knee weakness, lacrimation, leg weakness, scanty menstrual flow, swollen or red tonsils"
Cerebral palsy,"I have arm weakness, bleeding or discharge from nipple, coughing up sputum, knee weakness, lacrimation, leg weakness, problems during pregnancy, swollen or red tonsils"
Cerebral palsy,"I have bleeding or discharge from nipple, coughing up sputum, difficulty breathing, increased heart rate, lacrimation, leg weakness, scanty menstrual flow, swollen or red tonsils, tongue bleeding"
Cerebral palsy,"I have arm weakness, bleeding or discharge from nipple, coughing up sputum, increased heart rate, knee weakness, lacrimation, leg weakness, scanty menstrual flow"
Cerebral palsy,"I have arm weakness, bleeding or discharge from nipple, coughing up sputum, difficulty breathing, increased heart rate, leg weakness, problems during pregnancy, scanty menstrual flow, swollen or red tonsils"
Marijuana abuse,"I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, drainage in throat, emotional symptoms, fatigue, hoarse voice, low back weakness, symptoms of the scrotum and testes"
Marijuana abuse,"I have absence of menstruation, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, drainage in throat, emotional symptoms, fatigue, hoarse voice"
Marijuana abuse,"I have absence of menstruation, antisocial behavior, decreased heart rate, drainage in throat, emotional symptoms, fatigue, hoarse voice, low back weakness, symptoms of the scrotum and testes"
Marijuana abuse,"I have antisocial behavior, decreased heart rate, delusions or hallucinations, difficulty in swallowing, fatigue, hoarse voice, low back weakness, symptoms of the scrotum and testes"
Marijuana abuse,"I have absence of menstruation, decreased heart rate, delusions or hallucinations, drainage in throat, emotional symptoms, fatigue, hoarse voice, low back weakness"
Marijuana abuse,"I have absence of menstruation, antisocial behavior, decreased heart rate, depression, difficulty in swallowing, hoarse voice, low back weakness, symptoms of the scrotum and testes"
Marijuana abuse,"I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, emotional symptoms, low back weakness"
Marijuana abuse,"I have absence of menstruation, antisocial behavior, delusions or hallucinations, difficulty in swallowing, drainage in throat, fatigue, hoarse voice, symptoms of the scrotum and testes"
Marijuana abuse,"I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, drainage in throat, fatigue, low back weakness"
